region,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2041,34.2487525572,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2041,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2041,30.9418352676,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2041,61.598768975999995,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2042,9.2222857143,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2042,229.52907093599998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2042,31.516414689599998,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2042,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2042,33.531058296000005,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2042,67.528091628,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2043,8.7505140744,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2043,228.975346908,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2043,28.9192169664,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2043,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2043,36.1202813244,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2043,73.45741428,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2044,8.539219479888,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2044,228.264201216,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2044,29.1955389588,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2044,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2044,38.709504349199996,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2044,79.386736932,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2045,8.31728178288,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2045,227.367024912,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2045,27.7030556568,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2045,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2045,41.298727388399996,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2045,85.31605958399999,PJ,2023
